Date,case_nor_03d,case_nor_05d,case_05d,Location,Athens,Circleville,Jackson_Pike,Lancaster,Marietta,Marysville,Newark,Southerly,Zanesville,Average_RNA_Conc,Average_PMMoV,Average_crAssphage,Ave_N2,Flowrate_Sample,Rainfall_24hr,WQ_pH,TAVE,WQ_TSS,Weekday,Sewertype,Population,Medium_Income,Poverty,Cmlt_testing_site,Overall_SVI,Socioeconomic_SVI1,Household_SVI2,Minority_SVI3,Transportation _SVI4
10/13/20,76,81,20,Athens,1,0,0,0,0,0,0,0,0,6.2,4200000,52720000,13533,1645000,0.1,7.8,21.5,304,Y,Separate,24536,32360,47.3,11,0.9425,0.8966,0.046,0.6782,1
10/13/20,10,10,1,Circleville,0,1,0,0,0,0,0,0,0,10.6,1082840,94419600,5060,1420000,0.01,7.63,20.15,208,Y,Separate,13965,42103,22.4,8,0.3448,0.4368,0.1839,0.4713,0.5287
10/13/20,20,17,111,Jackson_Pike,0,0,1,0,0,0,0,0,0,2.5,2295000,113150000,8583,84500000,0.15,6.95,21,203,Y,Combined ,645940,97258.1429,1.13,80,0.6437,0.3563,0.2759,1,0.8161
10/13/20,22,17,4,Lancaster,0,0,0,1,0,0,0,0,0,4.5,641720,18199600,1578,4000000,0.24,7.3,19.5,511,Y,Combined ,24303,43720,18.5,19,0.3103,0.1034,0.3908,0.8506,0.3563
10/13/20,22,25,4,Marietta,0,0,0,0,1,0,0,0,0,5.8,647640,92314400,4969,1541000,0,6.9,22,204,Y,Separate,15284,38729,26.6,7,0.4183,0.3103,0.7011,0.1494,0.6667
10/13/20,20,26,6,Marysville,0,0,0,0,0,1,0,0,0,4.7,2402400,181381200,2464,2810000,0,8.205,19.5,180,Y,Separate,24677,75116,8.2,4,0.069,0.0345,0.1034,0.4943,0.3103
10/13/20,27,30,14,Newark,0,0,0,0,0,0,1,0,0,6.7,922200,21122000,3333,5570000,0,7.75,18.65,148,Y,Combined ,45000,45039,18.3,11,0.2874,0.2414,0.3563,0.5287,0.2874
10/13/20,18,16,107,Southerly,0,0,0,0,0,0,0,1,0,3.05,1628000,41960000,1600,82800000,0,7.1,19.45,226,Y,Combined ,654817,97258.1429,1.13,82,0.6437,0.3563,0.2759,1,0.8161
10/13/20,29,24,11,Zanesville,0,0,0,0,0,0,0,0,1,5.6,1965600,122959200,6734,2900000,0,7.6,,370,Y,Combined ,47500,30345,30.1,10,0.8161,0.8046,0.8046,0.3448,0.8391
10/18/20,45,45,11,Athens,1,0,0,0,0,0,0,0,0,4.05,3339600,85437600,42327,1430000,0.1,7.8,21.5,360,N,Separate,24536,32360,47.3,11,0.9425,0.8966,0.046,0.6782,1
10/18/20,7,10,1,Circleville,0,1,0,0,0,0,0,0,0,3.75,3525300,146290000,377,1220000,0.34,7.54,19.6,216,N,Separate,13965,42103,22.4,8,0.3448,0.4368,0.1839,0.4713,0.5287
10/18/20,16,18,116,Jackson_Pike,0,0,1,0,0,0,0,0,0,2.5,2914950,113335000,8610,62100000,0.015,6.9,21,201,N,Combined ,645940,97258.1429,1.13,80,0.6437,0.3563,0.2759,1,0.8161
10/18/20,27,34,8,Lancaster,0,0,0,1,0,0,0,0,0,6.8,4269800,92412400,3395,4700000,0.4,7,18.7,298,N,Combined ,24303,43720,18.5,19,0.3103,0.1034,0.3908,0.8506,0.3563
10/18/20,22,31,5,Marietta,0,0,0,0,1,0,0,0,0,3.55,1540800,46838000,2255,1591000,0,7.1,21,156,N,Separate,15284,38729,26.6,7,0.4183,0.3103,0.7011,0.1494,0.6667
10/18/20,20,19,5,Marysville,0,0,0,0,0,1,0,0,0,5.25,2176480,186113600,5013,2570000,0.5,7.755,17.75,240,N,Separate,24677,75116,8.2,4,0.069,0.0345,0.1034,0.4943,0.3103
10/18/20,21,25,11,Newark,0,0,0,0,0,0,1,0,0,6.7,922200,21122000,6167,5410000,0.29,7.62,17.85,148,N,Combined ,45000,45039,18.3,11,0.2874,0.2414,0.3563,0.5287,0.2874
10/18/20,20,20,133,Southerly,0,0,0,0,0,0,0,1,0,3.05,1742250,209225000,9800,78300000,0,6.95,18.79,190,N,Combined ,654817,97258.1429,1.13,82,0.6437,0.3563,0.2759,1,0.8161
10/18/20,20,17,8,Zanesville,0,0,0,0,0,0,0,0,1,3.65,3164660,74787800,9094,2800000,0,7.5,,268,N,Combined ,47500,30345,30.1,10,0.8161,0.8046,0.8046,0.3448,0.8391
10/20/20,45,45,11,Athens,1,0,0,0,0,0,0,0,0,4.05,3339600,85437600,42327,1430000,0.1,7.8,21.5,360,Y,Separate,24536,32360,47.3,11,0.9425,0.8966,0.046,0.6782,1
10/20/20,7,10,1,Circleville,0,1,0,0,0,0,0,0,0,3.75,3525300,146290000,377,1220000,0.34,7.54,19.6,216,Y,Separate,13965,42103,22.4,8,0.3448,0.4368,0.1839,0.4713,0.5287
10/20/20,23,20,128,Jackson_Pike,0,0,1,0,0,0,0,0,0,2.5,3029560,45678000,10971,109000000,0.6,7.2,20,210,Y,Combined ,645940,97258.1429,1.13,80,0.6437,0.3563,0.2759,1,0.8161
10/20/20,27,34,8,Lancaster,0,0,0,1,0,0,0,0,0,6.8,4269800,92412400,3395,4700000,0.4,7,18.7,298,Y,Combined ,24303,43720,18.5,19,0.3103,0.1034,0.3908,0.8506,0.3563
10/20/20,48,38,6,Marietta,0,0,0,0,1,0,0,0,0,2.55,245000,3523700,2613,1844000,0.02,7.3,22,172,Y,Separate,15284,38729,26.6,7,0.4183,0.3103,0.7011,0.1494,0.6667
10/20/20,20,19,5,Marysville,0,0,0,0,0,1,0,0,0,5.25,2176480,186113600,5013,2570000,0.5,7.755,17.75,240,Y,Separate,24677,75116,8.2,4,0.069,0.0345,0.1034,0.4943,0.3103
10/20/20,30,27,12,Newark,0,0,0,0,0,0,1,0,0,6.7,922200,21122000,4418,7970000,0.14,7.4,17.6,148,Y,Combined ,45000,45039,18.3,11,0.2874,0.2414,0.3563,0.5287,0.2874
10/20/20,23,21,141,Southerly,0,0,0,0,0,0,0,1,0,3.05,3198950,100289200,16608,115200000,0,7,18.57,160,Y,Combined ,654817,97258.1429,1.13,82,0.6437,0.3563,0.2759,1,0.8161
10/20/20,26,22,10,Zanesville,0,0,0,0,0,0,0,0,1,7.2,1198800,23296000,5662,3100000,0.17,7.654,,268,Y,Combined ,47500,30345,30.1,10,0.8161,0.8046,0.8046,0.3448,0.8391
10/25/20,22,24,6,Athens,1,0,0,0,0,0,0,0,0,5.55,3081600,51024000,7680,1535000,0,7.6,21.5,380,N,Separate,24536,32360,47.3,11,0.9425,0.8966,0.046,0.6782,1
10/25/20,24,34,5,Circleville,0,1,0,0,0,0,0,0,0,5.5,1437200,87092000,14098,1430000,0.01,7.56,19.2,184,N,Separate,13965,42103,22.4,8,0.3448,0.4368,0.1839,0.4713,0.5287
